instance,method,status,feasible,optimal,objective,best_bound,gap,time_sec
"MVPRP1_10_3_2","alns","ALNS(seed=20260310,iters=22346,accepted=14933,bestIter=6683,restarts=9)",true,false,27043.694881,NaN,NaN,60.000340
"MVPRP1_10_3_3","alns","ALNS(seed=20260310,iters=23287,accepted=15184,bestIter=8240,restarts=9)",true,false,27357.482585,NaN,NaN,60.000017
"MVPRP1_10_6_2","alns","ALNS(seed=20260310,iters=4996,accepted=3371,bestIter=563,restarts=2)",true,false,44203.266068,NaN,NaN,60.000440
"MVPRP1_10_6_3","alns","ALNS(seed=20260310,iters=7852,accepted=2432,bestIter=2633,restarts=0)",true,false,45223.935420,NaN,NaN,60.000051
"MVPRP1_10_9_2","alns","ALNS(seed=20260310,iters=3035,accepted=1275,bestIter=998,restarts=1)",true,false,67739.218875,NaN,NaN,60.000075
"MVPRP1_10_9_3","alns","ALNS(seed=20260310,iters=5177,accepted=985,bestIter=5177,restarts=0)",true,false,69294.904993,NaN,NaN,60.000101
"MVPRP2_10_3_2","alns","ALNS(seed=20260310,iters=21884,accepted=18204,bestIter=18560,restarts=3)",true,false,204170.830658,NaN,NaN,60.000311
"MVPRP2_10_3_3","alns","ALNS(seed=20260310,iters=18252,accepted=15561,bestIter=538,restarts=1)",true,false,204477.482585,NaN,NaN,60.000167
"MVPRP2_10_6_2","alns","ALNS(seed=20260310,iters=4422,accepted=2876,bestIter=1103,restarts=0)",true,false,371443.266068,NaN,NaN,60.000145
"MVPRP2_10_6_3","alns","ALNS(seed=20260310,iters=7322,accepted=2715,bestIter=4568,restarts=0)",true,false,372463.935420,NaN,NaN,60.000227
"MVPRP2_10_9_2","alns","ALNS(seed=20260310,iters=3083,accepted=1362,bestIter=2771,restarts=0)",true,false,572164.848785,NaN,NaN,60.000352
"MVPRP2_10_9_3","alns","ALNS(seed=20260310,iters=3987,accepted=1177,bestIter=1861,restarts=0)",true,false,573773.935754,NaN,NaN,60.001662
"MVPRP3_10_3_2","alns","ALNS(seed=20260310,iters=20313,accepted=14178,bestIter=135,restarts=13)",true,false,34450.991350,NaN,NaN,60.009420
"MVPRP3_10_3_3","alns","ALNS(seed=20260310,iters=31063,accepted=16560,bestIter=436,restarts=21)",true,false,36786.893156,NaN,NaN,60.000230
"MVPRP3_10_6_2","alns","ALNS(seed=20260310,iters=5225,accepted=3003,bestIter=2738,restarts=2)",true,false,61956.330342,NaN,NaN,60.000261
"MVPRP3_10_6_3","alns","ALNS(seed=20260310,iters=9708,accepted=3359,bestIter=6260,restarts=3)",true,false,69838.480208,NaN,NaN,60.000380
"MVPRP3_10_9_2","alns","ALNS(seed=20260310,iters=3524,accepted=1423,bestIter=2654,restarts=0)",true,false,95912.810931,NaN,NaN,60.000484
"MVPRP3_10_9_3","alns","ALNS(seed=20260310,iters=5984,accepted=1658,bestIter=5767,restarts=1)",true,false,102260.478922,NaN,NaN,60.000037
"MVPRP4_10_3_2","alns","ALNS(seed=20260310,iters=24485,accepted=11617,bestIter=280,restarts=10)",true,false,21447.362237,NaN,NaN,60.000259
"MVPRP4_10_3_3","alns","ALNS(seed=20260310,iters=34455,accepted=15070,bestIter=2,restarts=15)",true,false,21710.242373,NaN,NaN,60.000007
"MVPRP4_10_6_2","alns","ALNS(seed=20260310,iters=6934,accepted=2490,bestIter=6324,restarts=2)",true,false,41765.689830,NaN,NaN,60.000022
"MVPRP4_10_6_3","alns","ALNS(seed=20260310,iters=8185,accepted=2948,bestIter=6236,restarts=1)",true,false,44588.096042,NaN,NaN,60.000272
"MVPRP4_10_9_2","alns","ALNS(seed=20260310,iters=2813,accepted=805,bestIter=2004,restarts=0)",true,false,63477.386249,NaN,NaN,60.000404
"MVPRP4_10_9_3","alns","ALNS(seed=20260310,iters=5493,accepted=1362,bestIter=4139,restarts=1)",true,false,67696.288229,NaN,NaN,60.000149
